run,label,step,raw_rollouts,retained_rollouts,aborted_rollouts_estimate,overlong_masked,reward/avg_score,reward/raw_environment_reward,reward/mixed_reward,reward/avg_num_turns,reward/response_tokens,reward/generated_tokens,reward/overlong_rate,reward/response_at_limit,reward/generated_at_limit,reward/response_length_overflow,reward/generated_length_overflow,response/aborted_ratio,response_length/mean,response_length/max,response_length/clip_ratio,response_length_non_aborted/clip_ratio,num_turns/mean,actor/pg_loss,actor/grad_norm,rollout_corr/k3_kl,trace/credit_mask_tokens,trace/k_step_credit_count,perf/throughput,timing_s/step
trace_foldgrpo,Trace+FoldGRPO,58,8,6.0,2.0,0,0.5,0.5,0.25,12.0,10519.25,1204.375,0.0,0.0,0.0,0.0,0.0,0.25,7872.75,22475.0,0.0,0.0,8.25,-0.029004543786868453,1.2109375,0.15321721818327205,9635,26,965.6339854919554,47.99023304507136
trace_foldgrpo,Trace+FoldGRPO,59,8,7.0,1.0,0,0.0,0.0,0.0,19.75,13805.0,1254.75,0.0,0.0,0.0,0.0,0.0,0.125,12358.25,28827.0,0.0,0.0,11.0,-0.024035871087107807,1.109375,0.02034372375055682,10038,34,986.3057784043517,67.76194711960852
trace_foldgrpo,Trace+FoldGRPO,60,12,10.0,2.0,0,0.0,0.0,0.0,37.0,14703.333333333334,1595.0,0.0,0.0,0.0,0.0,0.0,0.1666666716337204,13850.1669921875,27461.0,0.0,0.0,14.333333333333334,-0.0008278289994147295,0.124267578125,1.4037839484759995,19140,59,899.3758863767504,120.21558687277138
trace_foldgrpo,Trace+FoldGRPO,61,8,5.0,3.0,0,0.0,0.0,0.0,9.25,12275.75,1366.125,0.0,0.0,0.0,0.0,0.0,0.375,7007.0,14050.0,0.0,0.0,7.25,-0.009361150878248736,0.875,0.7050312954379478,10929,24,887.5914205091049,45.62628599628806
trace_foldgrpo,Trace+FoldGRPO,62,8,8.0,0,0,0.25,0.125,0.125,29.5,16839.75,1653.125,0.0,0.0,0.0,0.0,0.0,0.0,16839.75,27927.0,0.0,0.0,14.75,-0.009676229648903245,0.69921875,0.0012155683798482642,13225,36,652.225518600988,133.61022762022913
trace_foldgrpo,Trace+FoldGRPO,63,12,10.0,2.0,0,0.5,0.5833333333333334,0.5833333333333334,38.0,15614.833333333334,1100.0833333333333,0.0,0.0,0.0,0.0,0.0,0.1666666716337204,13921.6669921875,30488.0,0.0,0.0,13.833333333333334,-0.018454221071806387,0.431640625,0.047029748408628315,13201,53,715.7894225409232,151.54736376926303
trace_foldgrpo,Trace+FoldGRPO,64,12,10.0,2.0,0,0.0,0.0,0.0,33.5,17527.083333333332,1291.5833333333333,0.0,0.0,0.0,0.0,0.0,0.1666666716337204,15817.75,30129.0,0.0,0.0,12.666666666666666,-0.009734727932179036,0.45703125,0.1819223466833743,15499,57,1037.2884145872615,115.65009144321084
trace_foldgrpo,Trace+FoldGRPO,65,8,7.0,1.0,0,0.5,0.625,0.5,21.75,14201.125,1465.875,0.0,0.0,0.0,0.0,0.0,0.125,12902.0,29713.0,0.0,0.0,11.75,-0.024852694128639996,0.490234375,0.05716907353780698,11727,35,887.1972439785036,77.72454261779785
trace_foldgrpo,Trace+FoldGRPO,66,12,12.0,0,0,0.25,0.25,0.25,45.5,19329.916666666668,1257.25,0.0,0.0,0.0,0.0,0.0,0.0,19329.916015625,30621.0,0.0,0.0,15.166666666666666,-0.007687761812121607,1.3984375,0.0020416221959749237,15087,59,934.3293005954613,156.24095263518393
trace_foldgrpo,Trace+FoldGRPO,67,12,9.0,3.0,0,0.75,0.9166666666666666,0.6666666666666666,50.0,25069.833333333332,1369.75,0.0,0.16666666666666666,0.0,0.0,0.0,0.25,17217.333984375,32768.0,0.1666666716337204,0.2222222238779068,21.666666666666668,-0.024149911672187347,0.572265625,0.7008004123539043,16437,91,809.3780825334143,155.08450588025153
